stage,hint
1,おすすめを連続で食べると、満足度がぐんぐん増えるぜ。
1,会計が気になるなら、無理におすすめを食べないのも手だ。安く腹が膨れるぜ。
1,あんた、若いからな。しっかり食べないと最終的な満足度が下がるぜ。
1,今のあんたなら、会計は3300円くらいに抑えたいよな？わかるぜ。
2,イライラするならお茶でも飲んで待つがいいさ。
2,イライラが溜まってくると、満足度が減り続けるぜ。気をつけな。
2,気になったネタが流れねえ時、お茶を飲んで待つのも大人ってもんだ。
2,今のあんたなら、予算は……3700円ってところか？
3,ガリを食いな。口の中がさっぱりして違うものが食いたくなるぜ？
3,今なら5000円くらいの会計、どうってことないだろう？
3,今のお前さんは、昔より気が立ちやすい。気をつけな。
3,前より食えなくなったろう？　歳をとるって、そう言うことさ。
4,ガリもある、お茶もある。高級ネタも全部ある……さあ、どうする？
4,後半になるほどレーンに高いネタが流れてくる。狙えよ。
4,今なら予算は……そうさな6000円ってところか？
4,食べれる量が減ってきてる……少ない皿数できっちりと満足しないとな……
5,もう値段なんざ気にしなくていい……好きに食え。
5,気づけば、お互い老けちまったなあ……
5,寿司って、いいよなあ……あんたもそう思うだろ？
5,ありがとな、お前さん。長いこと通ってくれて。
